product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
15847T-0,Reach™ 150 cm x 70 cm drop-in bath,Reach™,15847T,Wellness,Drop-in Bathtubs,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,29449.0,,,INR,150 cm x 70 cm drop-in bath,White,0,Acrylic,Drop-in,,1 BATHTUB; 1 WARRANTY CARD; 1 INSTALLATION GUIDE; None,"Rectangular basin creates a spacious bathing experience; Drop-in design creates a seamless bathroom aesthetic; 59"" (150 cm) x 27-1/2"" (70 cm) x 18-1/8"" (46 cm); Round overflow; 12-3/4"" (32.4 cm) soaking depth; Integral lumbar support; Easy-to-clean, durable high-gloss finish",inRiver_1336299,,,https://techcomm.kohler.com/techcomm/pdf/K-15847T_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-drop-in-bathtubs,False,
18775T-0,Duo™ 167 cm x 76 cm drop-in bath,Duo™,18775T,Wellness,Drop-in Bathtubs,https://www.kohler.co.in/p/duo-1670-mm-x-760-mm-drop-in-bath-18775t?skuId=18775T-0,39899.0,,,INR,167 cm x 76 cm drop-in bath,White,0,Acrylic,Drop-in,,1 BATHTUB; 1 WARRANTY CARD; 1 INSTALLATION GUIDE; None,Complements traditional and contemporary bathroom designs; Rectangular basin creates a spacious bathing experience; Drop-in design creates a seamless bathroom aesthetic; 65.75 inch (167 cm) x 30 inch (76 cm) x 15.35 inch (39 cm); Round overflow; 10.28 inch (26.1 cm) soaking depth provides a relaxing bathing experience; Integral lumbar support; Sloping backrest provides comfort,,,,https://techcomm.kohler.com/techcomm/pdf/K-18775T_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-drop-in-bathtubs,False,
1704T-Z-0,Evok™ 180 cm x 80 cm drop-in bath,Evok™,1704T-Z,Wellness,Drop-in Bathtubs,https://www.kohler.co.in/p/evok-1800-mm-x-800-mm-drop-in-bath-1704t-z?skuId=1704T-Z-0,56999.0,,,INR,180 cm x 80 cm drop-in bath,White,0,Acrylic,Drop-in,,1 BATHTUB; 1 INSTALLATION GUIDE; 1 WARRANTY SHEET; None,"Rectangular basin creates a spacious bathing experience; Drop-in design creates a seamless bathroom aesthetic; 70-7/8"" (180 cm) x 31-1/2"" (80 cm) x 21-5/8"" (55 cm); Round overflow; Center drain; 15-1/2"" (39.3 cm) soaking depth; Integral lumbar support on both ends",inRiver_1336299; inRiver_878644,,,https://techcomm.kohler.com/techcomm/pdf/K-1704T-Z_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-drop-in-bathtubs,False,
18776T-0,Duo™ 152 cm x 76 cm drop-in bath,Duo™,18776T,Wellness,Drop-in Bathtubs,https://www.kohler.co.in/p/duo-1520-mm-x-760-mm-drop-in-bath-18776t?skuId=18776T-0,34669.0,,,INR,152 cm x 76 cm drop-in bath,White,0,Acrylic,Drop-in,,1 BATHTUB; 1 WARRANTY CARD; 1 INSTALLATION GUIDE; 1 ROUGHIN GUIDE; None,Complements traditional and contemporary bathroom designs; Rectangular basin creates a spacious bathing experience; Drop-in design creates a seamless bathroom aesthetic; 60 inch (152 cm) x 30 inch (76 cm) x 17 inch (43 cm); Round overflow; 10.83 inch (27.5 cm) soaking depth provides a relaxing bathing experience; Integral lumbar support; Sloping backrest provides comfort,inRiver_1336299,,,https://techcomm.kohler.com/techcomm/pdf/K-18776T_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-drop-in-bathtubs,False,
15848T-0,Reach™ 170 cm x 70 cm drop-in bath,Reach™,15848T,Wellness,Drop-in Bathtubs,https://www.kohler.co.in/p/reach-1700-mm-x-700-mm-drop-in-bath-15848t?skuId=15848T-0,32299.0,,,INR,170 cm x 70 cm drop-in bath,White,0,Acrylic,Drop-in,,1 BATHTUB; 1 WARRANTY CARD; 1 INSTALLATION GUIDE; 1 ROUGHIN GUIDE; None,"Rectangular basin creates a spacious bathing experience; Drop-in design creates a seamless bathroom aesthetic; 67"" (170 cm) x 27-1/2"" (70 cm) x 18-1/8"" (46 cm); Round overflow; 12-11/16"" (32.2 cm) soaking depth; Integral lumbar support; Easy-to-clean, durable high-gloss finish",inRiver_1336299,,,https://techcomm.kohler.com/techcomm/pdf/K-15848T_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-drop-in-bathtubs,False,
18778T-0,Emerald® Acrylic Drop-in Bathtub,Emerald®,18778T,Wellness,Drop-in Bathtubs,https://www.kohler.co.in/p/emerald-acrylic-drop-in-bathtub-18778t?skuId=18778T-0,50039.0,,,INR,1.3M Drop-In Acrylic Bath,White,0,,,,"1 Bathtub,1 warranty card, 1 Installation guide, 1 rougin guide; None",Corner bath for space saving; Molded space for bathing stuff,inRiver_1336299,,,,False,https://www.kohler.co.in/p/bathtubs/shop-drop-in-bathtubs,False,
18749IN-W03C-0,Evora™ 185 cm x 110 cm drop-in acrylic rectangular whirlpool bath with chromatherapy,Evora™,18749IN-W03C,Wellness,Drop-in Bathtubs,https://www.kohler.co.in/p/evora-1850-mm-x-1100-mm-drop-in-acrylic-rectangular-whirlpool-bath-with-chromatherapy-18749in-w03c?skuId=18749IN-W03C-0,735000.0,,,INR,185 cm x 110 cm drop-in acrylic rectangular whirlpool bath with chromatherapy,White,0,Acrylic,Drop-in; Requires dedicated electrical GFCI circuit (220–240 V),,1 BATHTUB; 1 WARRANTY CARD; 1 INSTALLATION GUIDE; 1 ROUGHIN GUIDE; None; ['Whirlpool'],"Rectangular basin creates a spacious bathing experience; Spacious design accommodates up to two bathers; Two convenient molded-in seats; Integral lumbar support on both ends; Armrests offer extra comfort while bathing; Grab bars on each side for safety and stability; Includes two removable pillows for head and neck support; Single-speed whirlpool offers performance and value, with six fully adjustable jets; Two sets of six backjets target the lower back and shoulders to relieve tension and encourage deep breathing; 18 air jets release thousands of bubbles that surround, support, and massage the body; Chromatherapy lighting encourages your mind and body to relax as a full spectrum of color washes over you; Built-in heater; Center drain; With overflow and overflow cover",,,,https://techcomm.kohler.com/techcomm/pdf/K-18749IN-W03C_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-drop-in-bathtubs,False,
1418-V-0,"Memoirs® 72"" x 42"" drop-in Effervescence whirlpool bath",Memoirs,1418-V,Wellness,Drop-in Bathtubs,https://www.kohler.co.in/p/memoirs-72-x-42-drop-in-effervescence-whirlpool-with-spa-massage-package-1418-v?skuId=1418-V-0,1694000.0,,,INR,"72"" x 42"" drop-in Effervescence whirlpool bath",White,0,Acrylic,Drop-in,,"1 Bathtub, 1 Homespa WP Remote; None; ['8 effervescence ports deliver gentle, caressing bubbles', 'Whirlpool', 'Neckjets', 'Backjets', 'Chromatherapy']; 4","6 hydromassage jets can be individually adjusted for water flow and direction; Variable-speed pump for adjusting hydromassage intensity; Adjustable neckjet pillow with 2 jets provides a stimulating, stress-relieving neck massage; 10 backjets target the lower back and shoulders to relieve tension and encourage deep breathing; Chromatherapy lighting allows you to select a preferred color scheme to suit your mood; Built-in heater; Remote control; Lighted keypad control; Generous length provides a spacious bathing area; Drilled for grab bars (required); sold separately",inRiver_242826; inRiver_213884; inRiver_213880; inRiver_241232; inRiver_1520238,,,https://techcomm.kohler.com/techcomm/pdf/K-1418-V_spec_US-CA_Kohler_en.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-drop-in-bathtubs,False,
20627IN-K-0,Hourglass® 152.9 cm x 81.8 cm corner whirlpool bath,Hourglass,20627IN-K,Wellness,Drop-in Bathtubs,https://www.kohler.co.in/p/hourglass-1529-mm-x-818-mm-corner-whirlpool-bath-20627in-k?skuId=20627IN-K-0,174799.0,,,INR,152.9 cm x 81.8 cm corner whirlpool bath,White,0,Acrylic,"Corner; Left drain; Requires dedicated electrical GFCI circuit (220-240 V, 3 A, 50 Hz)",,1 BATHTUB; 1 WARRANTY CARD; 1 INSTALLATION GUIDE; 1 ROUGHIN GUIDE; None,"Rectangular basin creates a spacious bathing experience; Hourglass shape adds style and elegance to your bathroom; With overflow; 14.5 inch (36.8 cm) soaking depth; Single-speed whirlpool offers performance and value, with 4 fully adjustable jets; Armrests offer extra comfort while bathing; Integral lumbar support",,,,,True,https://www.kohler.co.in/p/bathtubs/shop-drop-in-bathtubs,False,
1360IN-H2-0,Riverbath™ 190.5 cm x 114.3 cm drop-in heated whirlpool bath with chromatherapy,Riverbath™,1360IN-H2,Wellness,Drop-in Bathtubs,https://www.kohler.co.in/p/riverbath-1905-mm-x-1143-mm-drop-in-heated-whirlpool-bath-with-chromatherapy-1360in-h2?skuId=1360IN-H2-0,2570000.0,,,INR,190.5 cm x 114.3 cm drop-in heated whirlpool bath with chromatherapy,White,0,Acrylic,Drop-in; Requires 240 V hard-wired electrical service; Requires bath drain and jet trim kit (sold separately),,"Bathtub, Installation Manual, Warranty Document; None; ['Chromatherapy', 'RiverBath Whirlpool']",Drop-in design creates a seamless bathroom aesthetic; 75 inch (190.5 cm) x 45 inch (114.3 cm) x 25 inch (63.5 cm); Integral overflow; Four Riverjets and eight hydromassage jets can be individually adjusted for water flow and direction; Spacious design accommodates up to two bathers; 19.75 inch (50.5 cm) soaking depth; Two variable-speed pumps for adjusting massage intensity; Lighted keypad control; Chromatherapy lighting allows you to select a preferred color scheme to suit your mood; Built-in heater; Floating remote control; Three pillows provide extra comfort; Integral lumbar support; Integral fill with factory-installed faucet valves; Drilled for grab bars (required); sold separately,inRiver_226220; inRiver_241232; inRiver_242948; inRiver_247956; inRiver_1520238; inRiver_213884; inRiver_213880,,,https://techcomm.kohler.com/techcomm/pdf/K-1360IN-H2_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-drop-in-bathtubs,False,
