product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
26998IN-0,Vive wall hung toilet bundle in White,,,Toilet Area,Wall Hung Toilets,https://www.kohler.co.in/p/vive-wall-hung-toilet-bundle-in-white-1?skuId=26998IN-0,23779.0,,,INR,,White,0,,,,None,,,,,,False,https://www.kohler.co.in/p/toilets/shop-wall-hung-toilets,False,
32410IN-0,APT Square complete wall hung toilet bundle in White,,,Toilet Area,Wall Hung Toilets,https://www.kohler.co.in/p/apt-square-complete-wall-hung-toilet-bundle-in-white-1?skuId=32410IN-0,12239.0,,,INR,,,0,,,,None,,,,,,False,https://www.kohler.co.in/p/toilets/shop-wall-hung-toilets,False,
29150IN-0,APT Round complete wall hung toilet bundle in White,,,Toilet Area,Wall Hung Toilets,https://www.kohler.co.in/p/apt-round-complete-wall-hung-toilet-bundle-in-white-1?skuId=29150IN-0,11449.0,,,INR,,,0,,,,None,,,,,,False,https://www.kohler.co.in/p/toilets/shop-wall-hung-toilets,False,
29171IN-S-0,Span Round complete wall hung toilet bundle in White,,,Toilet Area,Wall Hung Toilets,https://www.kohler.co.in/p/span-round-complete-wall-hung-toilet-bundle-in-white-1?skuId=29171IN-S-0,10269.0,,,INR,,,0,,,,None,,,,,,False,https://www.kohler.co.in/p/toilets/shop-wall-hung-toilets,False,
29174IN-S-0,Span square wall hung toilet bundle in White,,,Toilet Area,Wall Hung Toilets,https://www.kohler.co.in/p/Span-square-wall-hung-toilet-bundle-in-White-1?skuId=29174IN-S-0,9799.0,,,INR,,,0,,,,None,,,,,,False,https://www.kohler.co.in/p/toilets/shop-wall-hung-toilets,False,
20217IN-S-0,Trace wall hung toilet bundle in White,,,Toilet Area,Wall Hung Toilets,https://www.kohler.co.in/p/trace-wall-hung-toilet-bundle-in-white-1?skuId=20217IN-S-0,16399.0,,,INR,,,0,,,,None,,inRiver_1336387,,,,False,https://www.kohler.co.in/p/toilets/shop-wall-hung-toilets,False,
30438IN-0,Reach Eco wall hung toilet bundle in White,,,Toilet Area,Wall Hung Toilets,https://www.kohler.co.in/p/reach-eco-wall-hung-toilet-bundle-in-white-1?skuId=30438IN-0,13999.0,,,INR,,,0,,,,None,,,,,,False,https://www.kohler.co.in/p/toilets/shop-wall-hung-toilets,False,
26994IN-0,Brazn round wall hung toilet bundle in White,,,Toilet Area,Wall Hung Toilets,https://www.kohler.co.in/p/brazn-round-wall-hung-toilet-bundle-in-white-1?skuId=26994IN-0,27199.0,,,INR,,,0,,,,None,,,,,,False,https://www.kohler.co.in/p/toilets/shop-wall-hung-toilets,False,
75708IN-SS-0,Veil wall hung toilet bundle in White,,,Toilet Area,Wall Hung Toilets,https://www.kohler.co.in/p/veil-wall-hung-toilet-bundle-in-white-1?skuId=75708IN-SS-0,32799.0,,,INR,,,0,,,,None,,,,,,False,https://www.kohler.co.in/p/toilets/shop-wall-hung-toilets,False,
75708IN-DGS,Veil wall hung toilet bundle in Indigo,,,Toilet Area,Wall Hung Toilets,https://www.kohler.co.in/p/veil-wh-toilet-in-indigo-1?skuId=75708IN-DGS,39999.0,,,INR,,,DGS,,,,None,,,,,,False,https://www.kohler.co.in/p/toilets/shop-wall-hung-toilets,False,
