product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
5684IN-4ND-CP,"Aleo+™ Wall-mount bathroom sink faucet trim, 9.0 lpm",Aleo+™,5684IN-4ND,Basin Area,Single Control Faucets,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP,11519.0,,,INR,"Wall-mount bathroom sink faucet trim, 9.0 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Wall-mount; Trim only; requires valve to complete installation (sold separately); G 1/2 inlet connection,,"1-WM LAV FAUCET, 1 MOUNTING KIT; 1 ESCUTCHEON KIT;1 WARRANTY;1INSTALLATION INSTRUCTION; None","Sleek contemporary design; Single Lever handle allows for on/off activation, volume, and temperature control; 16 cm (6.3 inch) spout reach; Aerated flow; 9.0 lpm (2.38 gpm) maximum flow rate at 3.0 bar (43.5 psi); Drain sold separately",inRiver_558780,,,https://techcomm.kohler.com/techcomm/pdf/K-5684IN-4ND_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-single-control-faucets,False,
27477IN-4ND-CP,"Fore Tri® Single-handle bathroom sink faucet, 19.2 lpm",Fore Tri™,27477IN-4ND,Basin Area,Single Control Faucets,https://www.kohler.co.in/p/fore-tri-single-control-lav-faucet-without-drain-27477in-4nd?skuId=27477IN-4ND-CP,5429.0,,,INR,"Single-handle bathroom sink faucet, 19.2 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Deck-mount; For single-hole installation; Includes mounting hardware,,"1-LAV FAUCET; 1 INSTALLATION INSTRUCTION; 1 WARRANTY, 1 MOUNTING KIT; None","Sleek and contemporary design; Single handle provides on/off activation, volume, and temperature control; Red/blue indexing on handle; 3.94 inch (100 mm) spout reach; 5.81 inch (14.8 cm) spout height; Aerated flow; 5.08 gpm (19.2 lpm) maximum flow rate at 80 psi (5.5 bar); KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance; Drain sold separately",,,,https://techcomm.kohler.com/techcomm/pdf/K-27477IN-4ND_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-single-control-faucets,False,
77963-8A-BL,Components® Rocker bathroom sink faucet handle,Components,77963-8A,Basin Area,Single Control Faucets,https://www.kohler.co.in/p/components-bathroom-sink-rocker-handle-77963-8a?skuId=77963-8A-BL,35999.0,,,INR,Rocker bathroom sink faucet handle,Matte Black,BL,Premium metal construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Single-hole mounting; Remote valve installation allows flexibility for placement; Preattached flexible supply lines simplify installation,,"1 HANDLE;
1 INSTALLATION GUIDE;1 WARRANTY CARD; None; 1","Single Rocker handle allows for both volume and temperature control; For use with Components K-77967, K-77965, K-77968, K-77966, or K-77969 spout (sold separately); Coordinates with Components faucets, accessories, and showering components to complete your bathroom; KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance",inRiver_258692; inRiver_258700; inRiver_258708; inRiver_258716; inRiver_258734,,,https://techcomm.kohler.com/techcomm/pdf/K-77963-8A_spec_US-CA_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-single-control-faucets,False,
73159IN-7-CP,"Composed™ Tall single-handle bathroom sink faucet with Cylindrical handle, 8.3 lpm",Composed™,73159IN-7,Basin Area,Single Control Faucets,https://www.kohler.co.in/p/composed-single-control-side-mount-tall-lavatory-faucet-with-drain-73159in-7?skuId=73159IN-7-CP,46239.0,,,INR,"Tall single-handle bathroom sink faucet with Cylindrical handle, 8.3 lpm",Polished Chrome,CP,Premium metal construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Deck-mount; Single-hole mounting; Preattached flexible supply lines simplify installation,,"1 SPOUT ASSY, 1 DRAIN, 1 HARDWARE KIT, 1 INSTALLATION GUIDE & 1 WARRANTY CARD.; None","Sleek, minimalist design; Tall height is ideal for vessel-style sinks; Single Cylindrical handle allows for both volume and temperature control; 8 inch (20.3 cm) spout height; 7.13 inch (18.1 cm) spout reach; Laminar flow; 2.2 gpm (8.3 lpm) maximum flow rate at 45 psi (3.1 bar); Includes pop-up drain; KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance",,,,https://techcomm.kohler.com/techcomm/pdf/K-73159IN-7_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-single-control-faucets,False,
97347IN-4-CP,Avid Single-control tall lavatory faucet with drain in polished chrome,Avid™,97347IN-4,Basin Area,Single Control Faucets,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP,57759.0,,,INR,Sc tall lav faucet with drain,Polished Chrome,CP,,,,"1-LAV FAUCET, 1 DRAIN, 1 INSTALLATION GUIDE, & 1 WARRANTY CARD; None","Single handle controls both on/off activation and temperature settings.; 8"" (20.32 cm) spout height.; 5-13/16"" (14.8 cm) spout reach.; 1.2 gpm (4.5 lpm) maximum flow rate at 60 psi (4.14 bar).; KOHLER® ceramic disc valves exceed industry longevity standards, ensuring durable performance for life.; Metal touch-activated drain with 1-1/4"" tailpiece.; Ideal for vessel sink applications.; Coordinates with other products in the Avid collection.",,,,,True,https://www.kohler.co.in/p/faucets/shop-single-control-faucets,False,
97358IN-4ND-CP,Avid Single Control Wall mount Lavatory Faucet without Drain,Avid,97358IN-4ND,Basin Area,Single Control Faucets,https://www.kohler.co.in/p/avid-single-control-wall-mount-lavatory-faucet-without-drain-97358in-4nd?skuId=97358IN-4ND-CP,57759.0,,,INR,Sc wm lav faucet without drain,Polished Chrome,CP,,,,"2 ESCUTCHEON, 1 SPOUT, 1 SLEEVE, 1 HANDLE, 1 INSTALLATION GUIDE & 1 WARRANTY.; None","Complements the Avid(R) collection; Wall Mount Installation for a superior and cleaner lavatory area; Premium metal construction for durability and reliability; KOHLER ceramic disc valves exceed industry longevity standards by two times for a lifetime of durable performance.; KOHLER finishes resist corrosion and tarnishing, exceeding industry durability standards two times",,,,,True,https://www.kohler.co.in/p/faucets/shop-single-control-faucets,False,
22534IN-4-CP,Hone Single control lav faucet with drain,Hone,22534IN-4,Basin Area,Single Control Faucets,https://www.kohler.co.in/p/hone-single-control-lav-faucet-with-drain-22534in-4?skuId=22534IN-4-CP,8569.0,,,INR,Single control lav faucet with drain,Polished Chrome,CP,,,,1-LAV FAUCET; 1 DRAIN; 1 INSTALLATION INSTRUCTION; 1 WARRANTY; None,"Featuring clean lines and square features, the contemporary Hone faucet range draws inspiration from modern European design; Excellent height and reach suitable for installation with wide range of KOHLER basins; KOHLER ceramic disc valves exceed twice the industry longevity standards for a lifetime of durable performance; KOHLER finishes last twice the industry standards for lasting shine and easy maintenance; Coordinates with Hone showering components to complete your bathroom",,,,,True,https://www.kohler.co.in/p/faucets/shop-single-control-faucets,False,
97347T-4-RGD,Avid™ Tall single-handle bathroom sink faucet,Avid™,97347T-4,Basin Area,Single Control Faucets,https://www.kohler.co.in/p/avid-tall-single-handle-bathroom-sink-faucet-97347t-4?skuId=97347T-4-RGD,60499.0,,,INR,Tall single-handle bathroom sink faucet,Vibrant Titanium,RGD,Brass; KOHLER finishes resist corrosion and tarnishing,,,"1 FAUCET, 1 HARDWARE KIT, & 1 INSTALLATION GUIDE; None","KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance; Lever handle; Spout reach 14.8 cm; Includes flexible G 1/2 supply hoses for easy installation; Includes drain; Directionally adjustable, laminar-flow aerator",,,,https://techcomm.kohler.com/techcomm/pdf/K-97347T-4_spec_GPS_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-single-control-faucets,False,
73061T-7-BV,Composed™ Wall-mount lavatory faucet,Composed™,73061T-7,Basin Area,Single Control Faucets,https://www.kohler.co.in/p/composed-wall-mount-lavatory-faucet-73061t-7?skuId=73061T-7-BV,50799.0,,,INR,Wall-mount lavatory faucet,Vibrant French Gold,BV,Brass; KOHLER finishes resist corrosion and tarnishing,,,"1 VALVE, 1 TRIM, 1 SPOUT, 1 HANDLE, 1 HARDWARE KIT,& 1 INSTALLATION GUIDE; None","KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance; Lift and turn handle; Spout reach 17 cm; Includes drain; Directionally adjustable, laminar-flow aerator; Includes in-wall brass valve",,,,https://techcomm.kohler.com/techcomm/pdf/K-73061T-7_spec_TH_Kohler_en.pdf,True,https://www.kohler.co.in/p/faucets/shop-single-control-faucets,False,
74028IN-4-CP,Taut™ Pilar tap,Taut™,74028IN-4,Basin Area,Single Control Faucets,https://www.kohler.co.in/p/taut-pilar-tap-74028in-4?skuId=74028IN-4-CP,2429.0,,,INR,Pilar tap,Polished Chrome,CP,,,,1 PILLAR TAP; 1 MOUNTING KIT; 1 ESCUTCHEON; 1 WARRANTY CARD; 1 INSTALLATION INSTRUCTION; None,"Versatile modern design with unique shape complements a variety of décors; Easy-to-change threaded aerator can be changed with a coin; Complete design on faucets and bath spouts pair nicely with showering components, letting you create a cohesive look; KOHLER ceramic disc valves exceed industry longevity standards by two times for a lifetime of durable performance.; KOHLER finishes resist corrosion and tarnishing, exceeding industry durability standards two times",,,,,True,https://www.kohler.co.in/p/faucets/shop-single-control-faucets,False,
