product_code,asset_type,file_format,asset_url,product_url
5684IN-4ND-CP,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/5684IN-4ND.obj,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/5684IN-4ND.skp,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/5684IN-4ND.3ds,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Faucet-Wall_Mount-Lavatory-KOHLER-Aleo-K-5684IN.rfa,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/5684in_4ndpln.dxf,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/5684in_4ndpln.dwg,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/5684in_4ndfrt.dxf,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/5684in_4ndfrt.dwg,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/5684in_4ndsde.dxf,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/5684in_4ndsde.dwg,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/5684IN-4ND.dxf,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/5684IN-4ND.dwg,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
