parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
10385IN-CP,10385IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP
10385IN-CP,10385IN-BV,Vibrant French Gold,BV,Vibrant French Gold,,,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP
10385IN-CP,10385IN-AF,Vibrant Brushed Bronze,AF,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP
10385IN-CP,10385IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP
23973IN-AA-CP,23973IN-AA-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/bath-spout-without-diverter-in-rose-gold-23973in-aa?skuId=23973IN-AA-CP
23973IN-AA-CP,23973IN-AA-RGD,Vibrant French Gold,RGD,Vibrant French Gold,,,https://www.kohler.co.in/p/bath-spout-without-diverter-in-rose-gold-23973in-aa?skuId=23973IN-AA-CP
23973IN-AA-CP,23973IN-AA-AF,Vibrant Rose Gold,AF,Vibrant Rose Gold,,,https://www.kohler.co.in/p/bath-spout-without-diverter-in-rose-gold-23973in-aa?skuId=23973IN-AA-CP
23973IN-AA-CP,23973IN-AA-BL,Matte Black,BL,Matte Black,,,https://www.kohler.co.in/p/bath-spout-without-diverter-in-rose-gold-23973in-aa?skuId=23973IN-AA-CP
99460IN-4-CP,99460IN-4-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/kumin-exposed-sc-b-s-faucet-99460in-4?skuId=99460IN-4-CP
27493IN-CP,27493IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/fore-bath-spout-with-diverter-27493in?skuId=27493IN-CP
27493IN-CP,27493IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/fore-bath-spout-with-diverter-27493in?skuId=27493IN-CP
14428T-4-RGD,14428T-4-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/purist-bath-set-hob-mount-lever-handles-14428t-4?skuId=14428T-4-RGD
33996IN-CP,33996IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/apt-wall-mount-bath-spout-with-diverter-33996in?skuId=33996IN-CP
14426-2MB,14426-2MB,Vibrant Brushed Moderne Brass,,Vibrant Brushed Moderne Brass,,,https://www.kohler.co.in/p/purist-wall-mount-non-diverter-bath-spout-35-degrees-14426?skuId=14426-2MB
25764IN-CP,25764IN-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-with-diverter-25764in?skuId=25764IN-CP
25764IN-CP,25764IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-with-diverter-25764in?skuId=25764IN-CP
25764IN-CP,25764IN-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-with-diverter-25764in?skuId=25764IN-CP
25764IN-CP,25764IN-CP,Matte Black,CP,Matte Black,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-with-diverter-25764in?skuId=25764IN-CP
97904T-NA,97904T-NA,Not Applicable,NA,Not Applicable,,,https://www.kohler.co.in/p/floormount-bath-shower-fau-mounting-base-97904t?skuId=97904T-NA
99060IN-CP,99060IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/july-bath-spout-without-diverter-in-polished-chrome-99060in?skuId=99060IN-CP
